resonator length (cm), resonant frequency (GHz) #measured by raphael on august 27
13.2484, 18e9
13.6287, 17.64236e9
13.8420, 17.4091e9
14.2678, 17.1141e9
14.3704, 16.9796e9
14.5772, 16.7771e9
14.6318, 16.71e9
15.0270, 16.387e9
15.1360, 16.2687e9
15.3814, 16.0309e9
15.6, 15.862e9
15.6366, 15.8388e9
16.066, 14.4215e9
16.2846, 15.26e9
16.4231, 15.1278e9
16.5626, 15e9
