# tone power 30 MHz (dBm),Power Monitor Votage (V)
-20,1.3125
-15,1.1914
-10,1.0681
-5,0.9429
0,0.813
5,0.6881
8,0.6266
10,0.5952
12,0.5712
15,0.5458
